"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","FABP4",5.27966369587702,8.23959911949076,37.9346088912887,1.39052021929096e-67,2.70942864728844e-63,143.157298179474
"2","ITLN2",5.45078303958443,8.46809776410577,29.7313671247966,2.29608128739523e-56,2.2369571942448e-52,117.88061970836
"3","LOC401286",6.56183214873765,8.56802250216645,29.1830867084646,1.56770569550307e-55,1.01822484922925e-51,115.989405903907
"4","AGER",4.35423411741486,8.22925795524055,28.8968949457096,4.32010467249568e-55,2.10443098858946e-51,114.990923894896
"5","XLKD1",3.81813059437635,7.26508817719861,28.7801502062146,6.54671622002582e-55,2.55125531094406e-51,114.581363069766
"6","TCF21",3.5891528056753,7.95782056635722,27.816898078081,2.12291574660417e-53,6.89416888709704e-50,111.151319728409
"7","LOC653463",6.26217603748238,8.75360134898066,27.735332960877,2.86187589509645e-53,7.96623597370777e-50,110.856649906568
"8","CLEC1A",2.69836734621125,7.4773942471404,27.3046671009312,1.40043650603982e-52,3.41093816502323e-49,109.28963678366
"9","RHOJ",2.42159144111896,7.23219891747628,26.8766917871372,6.91024618135869e-52,1.49606829826416e-48,107.713612981044
"10","ADH1B",4.11806359406088,7.91702098105602,26.4701902235886,3.20170458669659e-51,6.23852138717831e-48,106.199027056675
"11","CAV1",3.98538116547126,10.6173987576705,26.1967814096939,9.06542316178936e-51,1.60581609370423e-47,105.170528159978
"12","SH3GL3",2.62994330273499,6.24765017455843,25.490236304885,1.38407212845554e-49,2.24738711857968e-46,102.475517022344
"13","FMO2",3.5024381601689,9.93304227825029,25.4182923807237,1.83224116278123e-49,2.74624761975325e-46,102.198052653314
"14","MMRN1",3.48941292302895,7.6422087246422,25.3244156981322,2.64427865247028e-49,3.68026925309881e-46,101.835145380161
"15","CLEC3B",4.28924241344348,9.68517646024415,24.7980377857087,2.1052719815045e-48,2.73474830397435e-45,99.7821901687195
"16","EDG1",2.51642175987314,7.98236388517939,24.6542771041546,3.72959560665456e-48,4.54194814972901e-45,99.2161145570055
"17","FAM107A",4.68213697602371,9.49093698858485,24.481423210969,7.44017024090132e-48,8.52774806729189e-45,98.5323903607431
"18","C20orf160",2.84714438387067,8.03034089530611,23.927659266438,6.95250094623213e-47,7.52608227429628e-44,96.319025204308
"19","RGC32",2.69746823240445,12.7371821380163,23.8981322361677,7.83991491737591e-47,8.04003906131945e-44,96.2000164878989
"20","ANKRD47",2.66008015699708,7.3018687905109,23.5957999049443,2.69749755733596e-46,2.62803699523456e-43,94.9756374856941
"21","LDB2",2.88288865533906,10.476511351664,23.5528255094322,3.21816830657585e-46,2.98600045017288e-43,94.8007351618463
"22","GHR",2.61564956040902,7.02225119776827,23.5121026858932,3.80474206862162e-46,3.36979087304965e-43,94.6347969271359
"23","CDO1",2.68068589735996,6.77904497130482,23.3912483857928,6.26056867071498e-46,5.30379045864701e-43,94.1411910444004
"24","STX11",3.10858587249369,8.63810090843216,23.3508210853169,7.39822663688056e-46,6.0064352508174e-43,93.9756900684267
"25","JAM2",2.72586118090336,8.11077739362662,23.3001824524662,9.12163400689591e-46,7.10940154497467e-43,93.768114158909
"26","PECAM1",2.38398573992629,10.5097444293426,23.2869498178903,9.63516343379363e-46,7.22081382721034e-43,93.7138215788452
"27","TEK",3.44602642796154,8.7721436431167,23.1779937932335,1.51372752114995e-45,1.09240669442988e-42,93.2659954671682
"28","GSTM5",2.27706281549221,6.6596825566923,22.601115476102,1.69347777418357e-44,1.17847908678453e-41,90.8713779303223
"29","SYT15",1.44601120195443,6.95096832244043,22.5370472488147,2.21971439164234e-44,1.49141844555693e-41,90.6029677744975
"30","GIMAP6",2.73349804954849,8.98801271403513,22.4059717461169,3.86704691168947e-44,2.51164696914231e-41,90.052288583154
"31","PI16",3.74201932851497,7.28427816179069,22.1546622347102,1.12740467175391e-43,7.08628388036286e-41,88.9906458212911
"32","CA4",5.00466683015909,9.28791261617292,21.8412163122574,4.32782042328772e-43,2.60357271449841e-40,87.6557003344835
"33","ABCA8",1.76351248609992,6.76587130590887,21.8368820234983,4.40943800761855e-43,2.60357271449841e-40,87.637156346827
"34","DNASE1L3",3.84240290886527,7.57283899888514,21.8096270600281,4.95939204070545e-43,2.84216923273958e-40,87.5204946640508
"35","F10",2.1639496547603,6.74535492850366,21.7956602110138,5.26746549703902e-43,2.93247329170872e-40,87.4606757458234
"36","CD36",3.05483907405819,7.53436905287579,21.7679105895159,5.93790953913551e-43,3.2138935380571e-40,87.3417549657926
"37","CYYR1",2.73986480563474,8.39554214770145,21.7397108409742,6.70734742031318e-43,3.53223417526493e-40,87.2208078965937
"38","ADAMTS8",2.76651835401056,7.18176785290388,21.6792320160368,8.7132631130506e-43,4.46784030941555e-40,86.9610867867391
"39","PLAC9",3.51891407625805,9.75350490738211,21.6685317050247,9.12651542669668e-43,4.5597475151073e-40,86.9150881810636
"40","MME",3.55042284891153,7.76998758427952,21.508775925446,1.82589272441411e-42,8.89437993380221e-40,86.2266433907084
"41","LGI3",2.75471681738193,6.46809828252152,21.4183795886521,2.70698449454864e-42,1.28647787503123e-39,85.835691103151
"42","SCARA5",3.35487406126243,7.09026510457754,21.3782269028178,3.22540731108439e-42,1.49635860610665e-39,85.6617102397974
"43","GPM6A",1.29432642566046,6.07729062232166,21.3724680344236,3.30754660755498e-42,1.49878013135369e-39,85.6367407180986
"44","PYCR1",-1.32710369709541,6.24425783144032,-21.3279883376015,4.01715562889596e-42,1.77896085065995e-39,85.4437448337835
"45","SPOCK2",2.98281941960362,11.3603476246997,21.2409201241311,5.88109966340723e-42,2.54651615425533e-39,85.0652450496976
"46","PTPRB",2.73500153613889,7.74539909482558,21.0823943140656,1.1800287279896e-41,4.99844777497334e-39,84.3736759292555
"47","LOC338328",2.37516246223119,7.05523939571748,21.0610931309475,1.29608278425885e-41,5.37322830878376e-39,84.2805097946313
"48","EMCN",3.03766247686965,7.17295939995242,20.9772822184506,1.87569652291452e-41,7.61415557270613e-39,83.9133892225335
"49","CRBN",1.23668318536073,9.43829828382945,20.8701183750464,3.01279024276416e-41,1.19804526286244e-38,83.4426899686667
"50","MFAP4",3.3029617240354,11.8212313352985,20.8589636223248,3.16538629573747e-41,1.23355103944889e-38,83.3936116131506
"51","RSPO1",1.65586233146835,5.84916916469598,20.8516277714555,3.26995629052269e-41,1.2493156533497e-38,83.3613270161835
"52","C2orf32",2.32882943921101,6.83044385370477,20.6660032471836,7.45882965888309e-41,2.79490953660263e-38,82.5421491517317
"53","LIMS2",2.35688684276425,7.88117796599554,20.6268669482469,8.88000724972458e-41,3.26465926907327e-38,82.3688821357784
"54","ETV4",-3.4260229201392,7.00897100096527,-20.5525294203182,1.23739925495541e-40,4.46494897829744e-38,82.0392365453542
"55","RECK",2.05172274643484,7.20275230655385,20.54599262525,1.27407522719963e-40,4.51370105490632e-38,82.010216055718
"56","MCEMP1",4.87283843920843,10.1120518677053,20.5306734880726,1.36437017661253e-40,4.747277302017e-38,81.94218464718
"57","LOC131873",2.97084013416555,7.20909958592087,20.5057402905198,1.52531312452e-40,5.21416249671444e-38,81.8313942136935
"58","TM6SF1",2.05642336251506,7.24373600755038,20.4102752321854,2.3393071316436e-40,7.85886197587509e-38,81.4064679180897
"59","CDH5",2.69696754341664,9.86292547136464,20.3900678732966,2.56132088567177e-40,8.45887075547701e-38,81.3163743628933
"60","WNT3A",3.54815019203889,7.12381419852273,20.3763440549159,2.72407634725292e-40,8.75209721920866e-38,81.2551578203678
"61","HIGD1B",3.2711096809063,8.76164615552846,20.375050548053,2.73994318897474e-40,8.75209721920866e-38,81.2493867635267
"62","CHMP4B",-1.89346407960383,9.55588433767743,-20.3660390633151,2.85309397502963e-40,8.96653808120199e-38,81.2091756010242
"63","FHL1",3.1842197403239,8.81923392716268,20.1629186371693,7.1222171016466e-40,2.20219569137553e-37,80.3000711337761
"64","SGCG",2.1117756498048,5.94447151330006,20.1594926864144,7.23328325625014e-40,2.20219569137553e-37,80.284692620574
"65","COX7A1",2.44135082565934,9.87766006409121,20.1128433702751,8.93110264625554e-40,2.67726977018906e-37,80.0751429527494
"66","HBB",4.14816448849179,12.7490026344669,20.1029714795917,9.33895143934775e-40,2.75711316357107e-37,80.0307626728155
"67","EDNRB",1.69339574186492,6.60643088711264,19.929805836917,2.04804032428538e-39,5.95612921174637e-37,79.250254092556
"68","CD300LG",1.6847946906711,6.66787719247886,19.890402603536,2.45001639662158e-39,7.02037786590756e-37,79.0721173928043
"69","HSPB2",2.07768031887201,7.7171086989625,19.7154821944778,5.44125843479681e-39,1.53656406669588e-36,78.2789286717357
"70","GPR146",1.57121901959305,6.45363743771211,19.6992148003945,5.86153224060209e-39,1.63159936725902e-36,78.2049640016229
"71","SOX17",2.4155038245426,6.62094532411034,19.573011920535,1.04514945473773e-38,2.86827283458658e-36,77.6299920979043
"72","GDF10",2.97722316493798,6.97010653881285,19.5164394511613,1.35534844738594e-38,3.66791173573821e-36,77.3715887705313
"73","FXYD1",2.0286912029413,6.75988582877265,19.5061442164177,1.42105441179695e-38,3.79304728957036e-36,77.3245195626747
"74","C10orf67",2.62458737453281,6.37064688479867,19.4238600150785,2.07559282828261e-38,5.46526030528198e-36,76.9478321295157
"75","HSPA12B",2.62032201341122,8.0953089198924,19.3820988268835,2.5164465788002e-38,6.53772821172291e-36,76.7563217165459
"76","C1QR1",2.34554023987273,11.153709995343,19.3747107555796,2.60372793461961e-38,6.67547879027147e-36,76.7224178320752
"77","LOC285016",3.02368014035723,7.59744986426868,19.3226833142012,3.31099703038351e-38,8.37854248532761e-36,76.4834651439501
"78","HBA2",3.9450707639237,12.441615419045,19.2127019655973,5.50886344762344e-38,1.37615646508901e-35,75.9771955066791
"79","HEG1",2.14150302915444,8.85003470878572,19.1092769937052,8.90410743165253e-38,2.19615864943987e-35,75.4996872023771
"80","MFNG",1.84092403044037,9.59431192714275,19.0873657680003,9.85924969481706e-38,2.40134350379388e-35,75.3983474310958
"81","C9orf19",2.11776035328469,11.7485184372249,19.0499905418485,1.17324962922633e-37,2.82231716363889e-35,75.2253438368803
"82","GRRP1",2.43987715486939,7.3448655401379,19.0280949708356,1.29922275551113e-37,3.08723846233346e-35,75.123909435307
