ID,Probe_Id,Definition,Ontology_Component,Ontology_Process,Ontology_Function,Chromosome,Probe_Coordinates,Cytoband,Probe_Chr_Orientation,RefSeq_ID,Entrez_Gene_ID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
FABP4,ILMN_1773006,"Homo sapiens fatty acid binding protein 4, adipocyte (FABP4), mRNA.",soluble fraction [goid 5625] [pmid 2481498] [evidence TAS]; cytoplasm [goid 5737] [pmid 16130169] [evidence TAS],transport [goid 6810] [evidence IEA],fatty acid binding [goid 5504] [pmid 2481498] [evidence TAS],8,82554256-82554305,8q21.13b,-,NM_001442.1,2167,FABP4,-5.381895200326967,8.23959911949076,-41.497138361818344,1.397009412276717e-72,2.722072839821183e-68,154.5769569341039
ITLN2,ILMN_2118129,"Homo sapiens intelectin 2 (ITLN2), mRNA.",,,sugar binding [goid 5529] [evidence IEA],1,159181495-159181544,1q23.3a,-,NM_080878.2,142683,ITLN2,-5.463763054638332,8.468097764105773,-32.34600103940374,9.171944216014687e-61,8.935766652452308e-57,127.95403549048689
TCF21,ILMN_1719351,"Homo sapiens transcription factor 21 (TCF21), transcript variant 1, mRNA.",nucleus [goid 5634] [evidence IEA],"mesoderm development [goid 7498] [pmid 9507058] [evidence TAS]; regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]",RNA polymerase II transcription factor activity [goid 3702] [evidence NR ]; DNA binding [goid 3677] [evidence IEA],6,134258098-134258147,6q23.2d,+,NM_198392.1,6943,TCF21,-3.6891561357753853,7.957820566357217,-30.94360208643417,1.0233372002018363e-58,6.646575115310927e-55,123.30970079839821
AGER,ILMN_1690829,"Homo sapiens advanced glycosylation end product-specific receptor (AGER), transcript variant 1, mRNA.",plasma membrane [goid 5886] [pmid 1378843] [evidence NAS]; integral to plasma membrane [goid 5887] [pmid 1378843] [evidence TAS]; plasma membrane [goid 5886] [pmid 1378843] [evidence NAS]; integral to plasma membrane [goid 5887] [pmid 1378843] [evidence TAS]; plasma membrane [goid 5886] [pmid 1378843] [evidence NAS]; integral to plasma membrane [goid 5887] [pmid 1378843] [evidence TAS],cell surface receptor linked signal transduction [goid 7166] [pmid 10835680] [evidence TAS]; cell adhesion [goid 7155] [evidence IEA]; inflammatory response [goid 6954] [pmid 10399917] [evidence TAS]; cell surface receptor linked signal transduction [goid 7166] [pmid 10835680] [evidence TAS]; cell adhesion [goid 7155] [evidence IEA]; inflammatory response [goid 6954] [pmid 10399917] [evidence TAS]; cell surface receptor linked signal transduction [goid 7166] [pmid 10835680] [evidence TAS]; cell adhesion [goid 7155] [evidence IEA]; inflammatory response [goid 6954] [pmid 10399917] [evidence TAS],receptor activity [goid 4872] [evidence IEA]; transmembrane receptor activity [goid 4888] [pmid 1378843] [evidence TAS]; protein binding [goid 5515] [evidence IEA]; receptor activity [goid 4872] [evidence IEA]; transmembrane receptor activity [goid 4888] [pmid 1378843] [evidence TAS]; protein binding [goid 5515] [evidence IEA]; receptor activity [goid 4872] [evidence IEA]; transmembrane receptor activity [goid 4888] [pmid 1378843] [evidence TAS]; protein binding [goid 5515] [evidence IEA],6,32258064-32258113,6p21.32b,-,NM_001136.3,177,AGER,-4.397809764739999,8.229257955240547,-30.03202802970216,2.4002231349953235e-57,1.1692086946345969e-53,120.19750333450234
CAV1,ILMN_1687583,"Homo sapiens caveolin 1, caveolae protein, 22kDa (CAV1), mRNA.",integral to membrane [goid 16021] [evidence IEA]; lipid raft [goid 45121] [pmid 11294831] [evidence IDA]; membrane [goid 16020] [evidence IEA]; endoplasmic reticulum [goid 5783] [pmid 11294831] [evidence IDA]; integral to plasma membrane [goid 5887] [pmid 1360410] [evidence TAS]; caveolar membrane [goid 16599] [pmid 15219854] [evidence IDA]; Golgi membrane [goid 139] [pmid 11294831] [evidence IDA],cholesterol homeostasis [goid 42632] [pmid 11294831] [evidence TAS]; cholesterol transport [goid 30301] [pmid 11294831] [evidence TAS],cholesterol binding [goid 15485] [pmid 11294831] [evidence TAS]; structural molecule activity [goid 5198] [pmid 11865038] [evidence IDA]; protein binding [goid 5515] [pmid 10212252] [evidence IPI],7,115987772-115987821,7q31.2b,+,NM_001753.3,857,CAV1,-4.079363283142293,10.617398757670454,-29.924467245868975,3.4997988434516715e-57,1.3638716092931163e-53,119.82527147613627
ADH1B,ILMN_1811598,"Homo sapiens alcohol dehydrogenase IB (class I), beta polypeptide (ADH1B), mRNA.",,ethanol oxidation [goid 6069] [pmid 2398055] [evidence TAS],"metal ion binding [goid 46872] [evidence IEA]; zinc ion binding [goid 8270] [pmid 9982] [evidence IDA]; electron carrier activity [goid 9055] [pmid 2398055] [evidence TAS]; alcohol dehydrogenase activity, zinc-dependent [goid 4024] [pmid 9982] [evidence TAS]",4,100446633-100446682,4q23b,-,NM_000668.3,125,ADH1B,-4.145154784492712,7.917020981056024,-29.566824064940946,1.23572274737827e-56,4.0130096221109317e-53,118.57984409139618
LOC401286,ILMN_1784493,"Homo sapiens hypothetical gene supported by AK127120 (LOC401286), mRNA.",,,,6,167810570-167810619,6q27d,-,NM_001023565.1,401286,LOC401286,-6.7966693868047905,8.56802250216645,-29.365642270369023,2.525463096970931e-56,7.029806920639798e-53,117.87398551321313
FMO2,ILMN_1732158,"Homo sapiens flavin containing monooxygenase 2 (FMO2), mRNA.",microsome [goid 5792] [evidence IEA]; endoplasmic reticulum [goid 5783] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],electron transport [goid 6118] [evidence IEA],dimethylaniline monooxygenase (N-oxide-forming) activity [goid 4499] [evidence IEA]; magnesium ion binding [goid 287] [evidence IEA]; monooxygenase activity [goid 4497] [pmid 9804831] [evidence TAS],1,169448029-169448078,1q24.3a,+,NM_001460.2,2327,FMO2,-3.490201343283191,9.933042278250285,-29.184296713832524,4.825499213279616e-56,1.1753106521344166e-52,117.23443377873801
FAM107A,ILMN_1743445,"Homo sapiens family with sequence similarity 107, member A (FAM107A), mRNA.",nucleus [goid 5634] [pmid 10564580] [evidence IDA],regulation of cell growth [goid 1558] [pmid 10564580] [evidence IDA],molecular function unknown [goid 5554] [evidence ND ],3,58524932-58524981,3p14.2d,-,NM_007177.1,11170,FAM107A,-4.746596942426921,9.49093698858485,-29.02132661776831,8.657273089314272e-56,1.87429962383654e-52,116.65700637736052
CLEC3B,ILMN_1682176,"Homo sapiens C-type lectin domain family 3, member B (CLEC3B), mRNA.",extracellular region [goid 5576] [pmid 14718574] [evidence NAS],skeletal development [goid 1501] [pmid 7798325] [evidence TAS],sugar binding [goid 5529] [evidence IEA],3,45052268-45052317,3p21.31k,+,NM_003278.1,7123,CLEC3B,-4.328126483554617,9.685176460244145,-28.72552138497052,2.5169891203168816e-55,4.904353300937444e-52,115.60238653159438
