"","ID","Symbol","Entrez_Gene_ID","Chromosome","Cytoband","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","ILMN_1773006","FABP4",2167,"8","8q21.13b",-6.02567469879518,7.94134337349398,-38.878767681022,1.29754347642267e-85,6.03357716536541e-81,184.469413342939
"2","ILMN_1784493","LOC401286",401286,"6","6q27d",-7.60577108433734,8.01733132530121,-38.5727462281981,4.25884011626634e-85,9.90180327031925e-81,183.30240845212
"3","ILMN_1690829","AGER",177,"6","6p21.32b",-5.43822891566265,7.1925843373494,-35.6150062214561,6.2055257103032e-80,9.61856485096996e-76,171.608707327054
"4","ILMN_1766832","LOC653463",653463,"6","",-6.98579518072289,8.34968072289157,-34.9623305318531,9.4800402496737e-79,1.10205467902457e-74,168.922539299292
"5","ILMN_2210753","XLKD1",10894,"11","11p15.4a",-4.3336626506024,6.24255421686747,-34.858243091472,1.46958222924306e-78,1.36671147319605e-74,168.490469393107
"6","ILMN_1729777","AGER",177,"6","6p21.32b",-4.40659036144578,6.66921084337349,-34.7584595931224,2.23929536685334e-78,1.73545390931134e-74,168.075304388108
"7","ILMN_1760990","SH3GL3",6457,"15","15q25.2b",-3.55573493975903,5.61187951807229,-33.6092623569022,3.06091862931543e-76,2.03332451804525e-72,163.225056059867
"8","ILMN_1796013","PYCR1",5831,"17","17q25.3g",3.49059036144578,7.92470481927711,32.0927392217159,2.44814895000188e-73,1.42298657718859e-69,156.624572849232
"9","ILMN_1808114","XLKD1",10894,"11","11p15.4a",-4.96804819277108,7.3666265060241,-31.8152293687881,8.52755392539029e-73,4.40590286145165e-69,155.391320957749
"10","ILMN_1766712","TCF21",6943,"6","6q23.2d",-4.52377108433735,7.90300602409639,-31.6072907740099,2.18357337968078e-72,1.01536162155156e-68,154.461976486842
"11","ILMN_1854270","",NA,"","",-3.69425301204819,6.20751204819277,-31.2415473526402,1.15368103170267e-71,4.87692436128857e-68,152.816304562359
"12","ILMN_1732158","FMO2",2327,"1","1q24.3a",-3.65763855421686,9.81981927710843,-31.1738428744262,1.57241786620128e-71,6.09311923152994e-68,152.510110965534
"13","ILMN_2118129","ITLN2",142683,"1","1q23.3a",-6.01850602409638,8.05495180722892,-31.075820540412,2.46398508373812e-71,8.81348510721713e-68,152.065938919343
"14","ILMN_1691339","CLEC1A",51267,"12","12p13.2c",-3.16056626506024,7.19799397590361,-30.8615758933623,6.59956917454131e-71,2.19199976154408e-67,151.091544397074
