ID,Probe_Id,Definition,Ontology_Component,Ontology_Process,Ontology_Function,Chromosome,Probe_Coordinates,Cytoband,Probe_Chr_Orientation,RefSeq_ID,Entrez_Gene_ID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
FABP4,ILMN_1773006,"Homo sapiens fatty acid binding protein 4, adipocyte (FABP4), mRNA.",soluble fraction [goid 5625] [pmid 2481498] [evidence TAS]; cytoplasm [goid 5737] [pmid 16130169] [evidence TAS],transport [goid 6810] [evidence IEA],fatty acid binding [goid 5504] [pmid 2481498] [evidence TAS],8,82554256-82554305,8q21.13b,-,NM_001442.1,2167,FABP4,-5.492971661835364,8.293070522148788,-45.99881551452553,2.1072821371858315e-97,4.216250100081412e-93,211.65935744667988
TCF21,ILMN_1719351,"Homo sapiens transcription factor 21 (TCF21), transcript variant 1, mRNA.",nucleus [goid 5634] [evidence IEA],"mesoderm development [goid 7498] [pmid 9507058] [evidence TAS]; regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]",RNA polymerase II transcription factor activity [goid 3702] [evidence NR ]; DNA binding [goid 3677] [evidence IEA],6,134258098-134258147,6q23.2d,+,NM_198392.1,6943,TCF21,-3.823608210351252,7.889784211150929,-39.64129558025739,2.0174001667986935e-87,2.018207126865413e-83,188.9823607253416
AGER,ILMN_1690829,"Homo sapiens advanced glycosylation end product-specific receptor (AGER), transcript variant 1, mRNA.",plasma membrane [goid 5886] [pmid 1378843] [evidence NAS]; integral to plasma membrane [goid 5887] [pmid 1378843] [evidence TAS]; plasma membrane [goid 5886] [pmid 1378843] [evidence NAS]; integral to plasma membrane [goid 5887] [pmid 1378843] [evidence TAS]; plasma membrane [goid 5886] [pmid 1378843] [evidence NAS]; integral to plasma membrane [goid 5887] [pmid 1378843] [evidence TAS],cell surface receptor linked signal transduction [goid 7166] [pmid 10835680] [evidence TAS]; cell adhesion [goid 7155] [evidence IEA]; inflammatory response [goid 6954] [pmid 10399917] [evidence TAS]; cell surface receptor linked signal transduction [goid 7166] [pmid 10835680] [evidence TAS]; cell adhesion [goid 7155] [evidence IEA]; inflammatory response [goid 6954] [pmid 10399917] [evidence TAS]; cell surface receptor linked signal transduction [goid 7166] [pmid 10835680] [evidence TAS]; cell adhesion [goid 7155] [evidence IEA]; inflammatory response [goid 6954] [pmid 10399917] [evidence TAS],receptor activity [goid 4872] [evidence IEA]; transmembrane receptor activity [goid 4888] [pmid 1378843] [evidence TAS]; protein binding [goid 5515] [evidence IEA]; receptor activity [goid 4872] [evidence IEA]; transmembrane receptor activity [goid 4888] [pmid 1378843] [evidence TAS]; protein binding [goid 5515] [evidence IEA]; receptor activity [goid 4872] [evidence IEA]; transmembrane receptor activity [goid 4888] [pmid 1378843] [evidence TAS]; protein binding [goid 5515] [evidence IEA],6,32258064-32258113,6p21.32b,-,NM_001136.3,177,AGER,-4.638772508904787,8.127618465662156,-38.09724726596407,8.425680482423559e-85,5.619367169744352e-81,183.01077091861296
ADH1B,ILMN_1811598,"Homo sapiens alcohol dehydrogenase IB (class I), beta polypeptide (ADH1B), mRNA.",,ethanol oxidation [goid 6069] [pmid 2398055] [evidence TAS],"metal ion binding [goid 46872] [evidence IEA]; zinc ion binding [goid 8270] [pmid 9982] [evidence IDA]; electron carrier activity [goid 9055] [pmid 2398055] [evidence TAS]; alcohol dehydrogenase activity, zinc-dependent [goid 4024] [pmid 9982] [evidence TAS]",4,100446633-100446682,4q23b,-,NM_000668.3,125,ADH1B,-4.221971526427302,7.82278683753539,-37.468167318525616,1.041514556994756e-83,5.2096558140877694e-80,180.52064887921475
LOC401286,ILMN_1784493,"Homo sapiens hypothetical gene supported by AK127120 (LOC401286), mRNA.",,,,6,167810570-167810619,6q27d,-,NM_001023565.1,401286,LOC401286,-6.943095359116975,8.506568844519593,-36.548045588018624,4.3772990612739305e-82,1.751619992359376e-78,176.81675048919655
FMO2,ILMN_1732158,"Homo sapiens flavin containing monooxygenase 2 (FMO2), mRNA.",microsome [goid 5792] [evidence IEA]; endoplasmic reticulum [goid 5783] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],electron transport [goid 6118] [evidence IEA],dimethylaniline monooxygenase (N-oxide-forming) activity [goid 4499] [evidence IEA]; magnesium ion binding [goid 287] [evidence IEA]; monooxygenase activity [goid 4497] [pmid 9804831] [evidence TAS],1,169448029-169448078,1q24.3a,+,NM_001460.2,2327,FMO2,-3.5608719140085494,9.878092160339977,-36.45937436197636,6.300043259692978e-82,2.1008544256656182e-78,176.4558632400077
CLEC3B,ILMN_1682176,"Homo sapiens C-type lectin domain family 3, member B (CLEC3B), mRNA.",extracellular region [goid 5576] [pmid 14718574] [evidence NAS],skeletal development [goid 1501] [pmid 7798325] [evidence TAS],sugar binding [goid 5529] [evidence IEA],3,45052268-45052317,3p21.31k,+,NM_003278.1,7123,CLEC3B,-4.5380606722087835,9.59097769139925,-36.37190164458017,9.028927638337153e-82,2.5807254883978537e-78,176.09916565557427
ITLN2,ILMN_2118129,"Homo sapiens intelectin 2 (ITLN2), mRNA.",,,sugar binding [goid 5529] [evidence IEA],1,159181495-159181544,1q23.3a,-,NM_080878.2,142683,ITLN2,-5.41581117556205,8.412388036441342,-36.17694987630564,2.0184529051494324e-81,5.04815071577873e-78,175.3017187356379
CAV1,ILMN_1687583,"Homo sapiens caveolin 1, caveolae protein, 22kDa (CAV1), mRNA.",integral to membrane [goid 16021] [evidence IEA]; lipid raft [goid 45121] [pmid 11294831] [evidence IDA]; membrane [goid 16020] [evidence IEA]; endoplasmic reticulum [goid 5783] [pmid 11294831] [evidence IDA]; integral to plasma membrane [goid 5887] [pmid 1360410] [evidence TAS]; caveolar membrane [goid 16599] [pmid 15219854] [evidence IDA]; Golgi membrane [goid 139] [pmid 11294831] [evidence IDA],cholesterol homeostasis [goid 42632] [pmid 11294831] [evidence TAS]; cholesterol transport [goid 30301] [pmid 11294831] [evidence TAS],cholesterol binding [goid 15485] [pmid 11294831] [evidence TAS]; structural molecule activity [goid 5198] [pmid 11865038] [evidence IDA]; protein binding [goid 5515] [pmid 10212252] [evidence IPI],7,115987772-115987821,7q31.2b,+,NM_001753.3,857,CAV1,-4.08360268961024,10.5681006976624,-36.11772309973002,2.578993148353217e-81,5.733388323583463e-78,175.05877475212404
STX11,ILMN_1720771,"Homo sapiens syntaxin 11 (STX11), mRNA.",membrane [goid 16020] [evidence IEA]; Golgi stack [goid 5795] [evidence IEA],intracellular protein transport [goid 6886] [evidence IEA]; membrane fusion [goid 6944] [pmid 9553086] [evidence TAS],protein transporter activity [goid 8565] [evidence IEA]; protein binding [goid 5515] [pmid 16169070] [evidence IPI]; SNAP receptor activity [goid 5484] [pmid 9553086] [evidence TAS],6,144550749-144550798,6q24.2b,+,NM_003764.2,8676,STX11,-3.330843743902501,8.660843172236355,-35.06172632371339,2.1478380470767882e-79,4.2973943645912375e-76,170.6733319757739
FAM107A,ILMN_1743445,"Homo sapiens family with sequence similarity 107, member A (FAM107A), mRNA.",nucleus [goid 5634] [pmid 10564580] [evidence IDA],regulation of cell growth [goid 1558] [pmid 10564580] [evidence IDA],molecular function unknown [goid 5554] [evidence ND ],3,58524932-58524981,3p14.2d,-,NM_007177.1,11170,FAM107A,-4.966735421354172,9.389986808174605,-34.94568302276245,3.513449879923528e-79,6.390645927046359e-76,170.1851140541532
XLKD1,ILMN_1808114,"Homo sapiens extracellular link domain containing 1 (XLKD1), mRNA.",membrane fraction [goid 5624] [pmid 10037799] [evidence TAS]; integral to plasma membrane [goid 5887] [pmid 10037799] [evidence TAS],cell-matrix adhesion [goid 7160] [pmid 10037799] [evidence TAS]; morphogenesis [goid 9653] [pmid 10037799] [evidence TAS]; cell adhesion [goid 7155] [evidence IEA]; response to wounding [goid 9611] [pmid 10037799] [evidence TAS]; cell motility [goid 6928] [pmid 10037799] [evidence TAS],hyaluronic acid binding [goid 5540] [evidence IEA]; receptor activity [goid 4872] [pmid 10037799] [evidence TAS],11,10536730-10536779,11p15.4a,-,NM_006691.2,10894,XLKD1,-4.003683397336625,7.25854574106218,-34.80228864249004,6.465277092041242e-79,1.0779772004796764e-75,169.580075060179
LOC653463,ILMN_1766832,"PREDICTED: Homo sapiens similar to hypothetical gene supported by AK127120 (LOC653463), mRNA.",,,,6,167810570-167810619,,-,XM_376558.2,653463,LOC653463,-6.587043788647642,8.705460169558354,-33.8587954558821,3.7503136846213885e-77,5.772021246300365e-74,165.55021617847348
PECAM1,ILMN_1689518,"Homo sapiens platelet/endothelial cell adhesion molecule (CD31 antigen) (PECAM1), mRNA.",intercellular junction [goid 5911] [evidence NR ]; integral to membrane [goid 16021] [evidence IEA]; plasma membrane [goid 5886] [pmid 1690453] [evidence TAS],signal transduction [goid 7165] [pmid 7994021] [evidence TAS]; cell adhesion [goid 7155] [evidence IEA]; cell recognition [goid 8037] [pmid 1690453] [evidence TAS]; cell motility [goid 6928] [evidence NR ],protein binding [goid 5515] [evidence IEA],17,59754528-59754577,17q23.3b,-,NM_000442.2,5175,PECAM1,-2.525257276647352,10.502220763962486,-33.44190105364758,2.317386028008079e-76,3.311875689170403e-73,163.74208313581428
CLEC1A,ILMN_1691339,"Homo sapiens C-type lectin domain family 1, member A (CLEC1A), mRNA.",membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],,sugar binding [goid 5529] [evidence IEA],12,10114650-10114699,12p13.2c,-,NM_016511.2,51267,CLEC1A,-2.716031625548945,7.448678450714152,-33.38418943927035,2.9858196790266825e-76,3.982685342531057e-73,163.49043073278565
